Age,Player_ID,Field_Goal_Percentage,Free_Throw_Percentage,Total_Rebounds,Assists,Steals,Block_Shots,Points,Salary,Season,Team
21-252,jordami01,0.313,0.857,6,7,2,4,16,550000,1984-85,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,630000,1985-86,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,845000,1987-88,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,2000000,1988-89,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,2500000,1989-90,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,2500000,1990-91,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,3250000,1991-92,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,4000000,1992-93,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,4000000,1993-94,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,3850000,1994-95,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,3850000,1995-96,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,30140000,1996-97,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,33140000,1997-98,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,1000000,2001-02,Washington Wizards
21-252,jordami01,0.313,0.857,6,7,2,4,16,1030000,2002-03,Washington Wizards
21-253,jordami01,0.615,1,5,5,2,1,21,550000,1984-85,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,630000,1985-86,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,845000,1987-88,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,2000000,1988-89,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,2500000,1989-90,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,2500000,1990-91,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,3250000,1991-92,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,4000000,1992-93,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,4000000,1993-94,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,3850000,1994-95,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,3850000,1995-96,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,30140000,1996-97,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,33140000,1997-98,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,1000000,2001-02,Washington Wizards
21-253,jordami01,0.615,1,5,5,2,1,21,1030000,2002-03,Washington Wizards
21-255,jordami01,0.542,0.846,4,5,6,2,37,550000,1984-85,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,630000,1985-86,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,845000,1987-88,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,2000000,1988-89,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,2500000,1989-90,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,2500000,1990-91,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,3250000,1991-92,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,4000000,1992-93,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,4000000,1993-94,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,3850000,1994-95,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,3850000,1995-96,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,30140000,1996-97,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,33140000,1997-98,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,1000000,2001-02,Washington Wizards
21-255,jordami01,0.542,0.846,4,5,6,2,37,1030000,2002-03,Washington Wizards
21-256,jordami01,0.381,1,4,5,3,1,25,550000,1984-85,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,630000,1985-86,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,845000,1987-88,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,2000000,1988-89,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,2500000,1989-90,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,2500000,1990-91,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,3250000,1991-92,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,4000000,1992-93,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,4000000,1993-94,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,3850000,1994-95,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,3850000,1995-96,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,30140000,1996-97,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,33140000,1997-98,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,1000000,2001-02,Washington Wizards
21-256,jordami01,0.381,1,4,5,3,1,25,1030000,2002-03,Washington Wizards
21-258,jordami01,0.467,0.75,5,5,1,1,17,550000,1984-85,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,630000,1985-86,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,845000,1987-88,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,2000000,1988-89,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,2500000,1989-90,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,2500000,1990-91,Chicago Bulls
